document_id,authority,original_filename,original_stem,original_extension,original_relative_path
ACM_001,ACM,ACM__kartels_10920_7487BMA.md,ACM__kartels_10920_7487BMA,.md,full_text\ACM__kartels_10920_7487BMA.md
ACM_002,ACM,ACM__kartels_10979_Besluit in zaak 7401.md,ACM__kartels_10979_Besluit in zaak 7401,.md,full_text\ACM__kartels_10979_Besluit in zaak 7401.md
ACM_003,ACM,ACM__kartels_11221_7130BLD.md,ACM__kartels_11221_7130BLD,.md,full_text\ACM__kartels_11221_7130BLD.md
ACM_004,ACM,ACM__kartels_11221_7130BLD_DeheerC.md,ACM__kartels_11221_7130BLD_DeheerC,.md,full_text\ACM__kartels_11221_7130BLD_DeheerC.md
ACM_005,ACM,ACM__kartels_11221_7130BLD_DeheerD.md,ACM__kartels_11221_7130BLD_DeheerD,.md,full_text\ACM__kartels_11221_7130BLD_DeheerD.md
ACM_006,ACM,ACM__kartels_11222_7130_7131BLD_DeheerA.md,ACM__kartels_11222_7130_7131BLD_DeheerA,.md,full_text\ACM__kartels_11222_7130_7131BLD_DeheerA.md
ACM_007,ACM,ACM__kartels_11862_beslissing-op-bezwaar-wob-verzoek-wasserijen-7597-24.md,ACM__kartels_11862_beslissing-op-bezwaar-wob-verzoek-wasserijen-7597-24,.md,full_text\ACM__kartels_11862_beslissing-op-bezwaar-wob-verzoek-wasserijen-7597-24.md
ACM_008,ACM,ACM__kartels_12554_openbare-boetebesluit-leesmappen-2013-11-07.md,ACM__kartels_12554_openbare-boetebesluit-leesmappen-2013-11-07,.md,full_text\ACM__kartels_12554_openbare-boetebesluit-leesmappen-2013-11-07.md
ACM_009,ACM,ACM__kartels_15708_beslissing-op-bezwaar-prefab-garages.md,ACM__kartels_15708_beslissing-op-bezwaar-prefab-garages,.md,full_text\ACM__kartels_15708_beslissing-op-bezwaar-prefab-garages.md
ACM_010,ACM,ACM__kartels_16518_beslissing-op-bezwaar-Samskip.md,ACM__kartels_16518_beslissing-op-bezwaar-Samskip,.md,full_text\ACM__kartels_16518_beslissing-op-bezwaar-Samskip.md
ACM_011,ACM,ACM__ontheffing_12285_104259-ontheffingbesluit-albermarle.md,ACM__ontheffing_12285_104259-ontheffingbesluit-albermarle,.md,full_text\ACM__ontheffing_12285_104259-ontheffingbesluit-albermarle.md
ACM_012,ACM,ACM__ontheffing_12464_philips-electronics-nederland-besluit-ontheffing-gas-2013-12-30.md,ACM__ontheffing_12464_philips-electronics-nederland-besluit-ontheffing-gas-2013-12-30,.md,full_text\ACM__ontheffing_12464_philips-electronics-nederland-besluit-ontheffing-gas-2013-12-30.md
ACM_013,ACM,ACM__ontheffing_12482_besluit-koninklijke-cooperatieve-bloemenveiling-floraholland-ua-ontheffing-elektriciteit-2013-12-30.md,ACM__ontheffing_12482_besluit-koninklijke-cooperatieve-bloemenveiling-floraholland-ua-ontheffing-elektriciteit-2013-12-30,.md,full_text\ACM__ontheffing_12482_besluit-koninklijke-cooperatieve-bloemenveiling-floraholland-ua-ontheffing-elektriciteit-2013-12-30.md
ACM_014,ACM,ACM__ontheffing_12487_besluit-koninklijke-cooperatieve-bloemenveiling-floraholland-ua-ontheffing-elektriciteit-2013-12-30.md,ACM__ontheffing_12487_besluit-koninklijke-cooperatieve-bloemenveiling-floraholland-ua-ontheffing-elektriciteit-2013-12-30,.md,full_text\ACM__ontheffing_12487_besluit-koninklijke-cooperatieve-bloemenveiling-floraholland-ua-ontheffing-elektriciteit-2013-12-30.md
ACM_015,ACM,ACM__ontheffing_12494_besluit-shell-nederland-chemie-ontheffing-2013-12-30.md,ACM__ontheffing_12494_besluit-shell-nederland-chemie-ontheffing-2013-12-30,.md,full_text\ACM__ontheffing_12494_besluit-shell-nederland-chemie-ontheffing-2013-12-30.md
ACM_016,ACM,ACM__ontheffing_12550_besluit-dsm-delft-gas-2014-01-21.md,ACM__ontheffing_12550_besluit-dsm-delft-gas-2014-01-21,.md,full_text\ACM__ontheffing_12550_besluit-dsm-delft-gas-2014-01-21.md
ACM_017,ACM,ACM__ontheffing_12552_besluit-vishay-zwolle-elektriciteit-2014-01-21.md,ACM__ontheffing_12552_besluit-vishay-zwolle-elektriciteit-2014-01-21,.md,full_text\ACM__ontheffing_12552_besluit-vishay-zwolle-elektriciteit-2014-01-21.md
ACM_018,ACM,ACM__ontheffing_12627_besluit-ontheffing-elektriciteit-windnet-oost-flevoland-bv.md,ACM__ontheffing_12627_besluit-ontheffing-elektriciteit-windnet-oost-flevoland-bv,.md,full_text\ACM__ontheffing_12627_besluit-ontheffing-elektriciteit-windnet-oost-flevoland-bv.md
ACM_019,ACM,ACM__ontheffing_12631_besluit-ontheffing-elektriciteit-heros-energy-bv-sluiskil.md,ACM__ontheffing_12631_besluit-ontheffing-elektriciteit-heros-energy-bv-sluiskil,.md,full_text\ACM__ontheffing_12631_besluit-ontheffing-elektriciteit-heros-energy-bv-sluiskil.md
ACM_020,ACM,ACM__ontheffing_12632_besluit-ontheffing-elektriciteit-nxp-semiconductors-netherlands-bv.md,ACM__ontheffing_12632_besluit-ontheffing-elektriciteit-nxp-semiconductors-netherlands-bv,.md,full_text\ACM__ontheffing_12632_besluit-ontheffing-elektriciteit-nxp-semiconductors-netherlands-bv.md
ACM_021,ACM,ACM__ontheffing_12701_besluit-ontheffing-stichting-katholieke-universiteit-elektriciteit-2014-03-14.md,ACM__ontheffing_12701_besluit-ontheffing-stichting-katholieke-universiteit-elektriciteit-2014-03-14,.md,full_text\ACM__ontheffing_12701_besluit-ontheffing-stichting-katholieke-universiteit-elektriciteit-2014-03-14.md
ACM_022,ACM,ACM__ontheffing_12722_besluit-ontheffing-o-i-manufacturing-netherlands-bv-gas-2014-03-18.md,ACM__ontheffing_12722_besluit-ontheffing-o-i-manufacturing-netherlands-bv-gas-2014-03-18,.md,full_text\ACM__ontheffing_12722_besluit-ontheffing-o-i-manufacturing-netherlands-bv-gas-2014-03-18.md
ACM_023,ACM,ACM__ontheffing_12723_besluit-ontheffing-o-i-manufacturing-netherlands-bv-elektriciteit-2014-03-18.md,ACM__ontheffing_12723_besluit-ontheffing-o-i-manufacturing-netherlands-bv-elektriciteit-2014-03-18,.md,full_text\ACM__ontheffing_12723_besluit-ontheffing-o-i-manufacturing-netherlands-bv-elektriciteit-2014-03-18.md
ACM_024,ACM,ACM__ontheffing_12724_besluit-ontheffing-dsm-resins-elektriciteit-2014-03-18.md,ACM__ontheffing_12724_besluit-ontheffing-dsm-resins-elektriciteit-2014-03-18,.md,full_text\ACM__ontheffing_12724_besluit-ontheffing-dsm-resins-elektriciteit-2014-03-18.md
ACM_025,ACM,ACM__ontheffing_12725_besluit-ontheffing-dsm-resins-bv-gas-2014-03-18.md,ACM__ontheffing_12725_besluit-ontheffing-dsm-resins-bv-gas-2014-03-18,.md,full_text\ACM__ontheffing_12725_besluit-ontheffing-dsm-resins-bv-gas-2014-03-18.md
ACM_026,ACM,ACM__ontheffing_12739_besluit-ontheffing-nwo-elektriciteit.md,ACM__ontheffing_12739_besluit-ontheffing-nwo-elektriciteit,.md,full_text\ACM__ontheffing_12739_besluit-ontheffing-nwo-elektriciteit.md
ACM_027,ACM,ACM__ontheffing_12847_besluit-ontheffing-tessenderlo-chemie-rotterdam-bv-gas-2014-04-17.md,ACM__ontheffing_12847_besluit-ontheffing-tessenderlo-chemie-rotterdam-bv-gas-2014-04-17,.md,full_text\ACM__ontheffing_12847_besluit-ontheffing-tessenderlo-chemie-rotterdam-bv-gas-2014-04-17.md
ACM_028,ACM,ACM__ontheffing_12929_besluit-ontheffing-ect-home-elektriciteit-2014-05-19.md,ACM__ontheffing_12929_besluit-ontheffing-ect-home-elektriciteit-2014-05-19,.md,full_text\ACM__ontheffing_12929_besluit-ontheffing-ect-home-elektriciteit-2014-05-19.md
ACM_029,ACM,ACM__ontheffing_12978_kwekerij-mostert-nieuwerkerk-bv.md,ACM__ontheffing_12978_kwekerij-mostert-nieuwerkerk-bv,.md,full_text\ACM__ontheffing_12978_kwekerij-mostert-nieuwerkerk-bv.md
ACM_030,ACM,ACM__ontheffing_13036_Besluit-ontheffing-bp-raffinaderijrotterdam-elektriciteit-2014-06-08.md,ACM__ontheffing_13036_Besluit-ontheffing-bp-raffinaderijrotterdam-elektriciteit-2014-06-08,.md,full_text\ACM__ontheffing_13036_Besluit-ontheffing-bp-raffinaderijrotterdam-elektriciteit-2014-06-08.md
ACM_031,ACM,ACM__ontheffing_14638_besluit-ontheffing-elektriciteitsnet-stichting-katholieke-universiteit-nijmegen-2015-08-24.md,ACM__ontheffing_14638_besluit-ontheffing-elektriciteitsnet-stichting-katholieke-universiteit-nijmegen-2015-08-24,.md,full_text\ACM__ontheffing_14638_besluit-ontheffing-elektriciteitsnet-stichting-katholieke-universiteit-nijmegen-2015-08-24.md
ACM_032,ACM,ACM__ontheffing_14824_herzien-besluit-vopak-terminal-europoort.md,ACM__ontheffing_14824_herzien-besluit-vopak-terminal-europoort,.md,full_text\ACM__ontheffing_14824_herzien-besluit-vopak-terminal-europoort.md
